Algorithm,Group Size,Message Size,Encryption Time (ms),Decryption Time (ms),CPU Usage (%),Memory Usage (%),Message Overhead (bytes),Total Time (ms)
RatchetTree,10000,128,231.6600876,314.9203421,49.35,7.111334801,439956,2320.107834
RatchetTree,10000,1024,343.7499981,383.424853,49.95,7.104384422,439956,2311.249125
RatchetTree,10000,1024,340.4199379,383.3723794,49.85,7.104384422,439956,2307.099333
RatchetTree,10000,1024,450.4201934,423.2984663,50,7.118712425,439956,2584.752125
RatchetTree,10000,1024,325.0001464,385.7774849,50,7.104384422,439956,2335.6535
RatchetTree,10000,1024,372.0796667,422.1523263,50,7.118659019,439956,2576.329666
RatchetTree,10000,1024,357.9200711,393.8313586,49.55,7.104384422,439956,2370.250125
RatchetTree,10000,1024,378.7502646,404.5046951,49.9,7.113898277,439956,2446.515291
RatchetTree,10000,1024,354.1697515,382.2590193,50,7.104384422,439956,2306.0715
RatchetTree,10000,1024,331.249903,387.8765692,49.95,7.104384422,439956,2337.902125
RatchetTree,10000,1024,373.3299673,428.7993659,49.95,7.118712425,439956,2623.77325
RatchetTree,10000,10240,1177.499653,1115.359363,49.95,7.138931274,439956,3063.330417
RatchetTree,10000,10240,1098.749926,1149.714567,50,7.153205872,439956,3317.192375
RatchetTree,10000,10240,1087.919809,1112.09329,50,7.138931274,439956,3035.435667
RatchetTree,10000,10240,1119.170338,1133.187658,50,7.148445129,439956,3131.956208
RatchetTree,10000,10240,1076.670014,1112.03193,49.7,7.138931274,439956,3072.400125
RatchetTree,10000,10240,1123.339753,1112.90182,50,7.138931274,439956,3065.331834
RatchetTree,10000,10240,1107.499702,1193.559389,48.95,7.153259277,439956,3432.853542
RatchetTree,10000,10240,1413.339633,1113.637424,50,7.138931274,439956,3058.726208
RatchetTree,10000,10240,1100.829686,1150.039793,50,7.153205872,439956,3327.386708
RatchetTree,10000,10240,1092.50017,1155.822395,49.2,7.138931274,439956,3144.877792
Hybrid,5,128,0.42200007,0.06891595,49.7,0.055214882,5248,4611.607917
Hybrid,5,128,0.123584992,0.034499972,50,0.026569366,5248,7171.790291
Hybrid,5,128,0.11100102,0.035709061,50,0.025531769,5248,4603.750833
Hybrid,5,128,0.092458911,0.03562402,49.95,0.025375366,5248,6094.743125
Hybrid,5,128,0.125249033,0.031210016,49.7,0.025360107,5248,4971.2825
Hybrid,5,128,0.10408496,0.043081935,49.8,0.025360107,5248,7241.13
Hybrid,5,128,0.08774898,0.03924995,49.75,0.025344849,5248,5479.542458
Hybrid,5,128,0.135875016,0.032207055,49.25,0.024723053,5248,4225.898
Hybrid,5,128,0.11695805,0.031335047,49.95,0.024963379,5248,6434.582042
Hybrid,5,128,0.096543052,0.031167059,49.55,0.024951935,5248,3824.283584
Hybrid,5,1024,0.125710038,0.047499954,49.35,0.027511597,5248,5722.791042
Hybrid,5,1024,0.160166994,0.04766701,49.8,0.027503967,5248,4826.104166
Hybrid,5,1024,0.115706935,0.053707976,49.95,0.027496338,5248,3722.409125
Hybrid,5,1024,0.119832985,0.048749032,49.6,0.027492523,5248,2594.203
Hybrid,5,1024,0.11991692,0.047832029,50,0.027755737,5248,4065.62025
Hybrid,5,1024,0.127375009,0.049790891,50,0.027835846,5248,8222.031416
Hybrid,5,1024,0.123166014,0.051500974,50,0.026233673,5248,3963.470083
Hybrid,5,1024,0.114458904,0.049916911,49.5,0.027454376,5248,5834.222209
Hybrid,5,1024,0.207749952,0.046874979,49.35,0.027442932,5248,7527.481125
